CHECKPOINT	TASK_1	TASK_2	TASK_3	TASK_4	TASK_5	TASK_6	TASK_7	TASK_8	TASK_9	TASK_10	TASK_11	TASK_12	TASK_13	TASK_14	TASK_15	TASK_16	TASK_17	TASK_18	TASK_19	TASK_20	TASK_21	TASK_22	TASK_23
checkpoint-1700	0.6954	0.6622	0.7743	0.7266	0.7085	0.8002	0.7535	0.7051	0.817	0.7496	0.7411	0.6457	0.6766	0.7351	0.6256	0.7685	0.6951	0.7735	0.8643	0.7258	0.6968	0.5738	0.7284
checkpoint-1750	0.6915	0.6631	0.7839	0.7413	0.7063	0.7995	0.7606	0.7133	0.8175	0.7513	0.7419	0.6595	0.673	0.7414	0.625	0.7703	0.6919	0.7777	0.8668	0.7256	0.6985	0.5701	0.7398
checkpoint-1800	0.6948	0.6552	0.7822	0.7309	0.6987	0.8067	0.747	0.7148	0.822	0.7511	0.7321	0.6562	0.6762	0.7311	0.624	0.7642	0.7081	0.7726	0.868	0.7298	0.7025	0.5839	0.7244
checkpoint-1850	0.6942	0.6534	0.7775	0.7271	0.7013	0.801	0.758	0.7029	0.8171	0.7474	0.7413	0.6447	0.6716	0.74	0.6146	0.771	0.6969	0.7765	0.8652	0.7185	0.6969	0.5842	0.7363
checkpoint-1900	0.69	0.6635	0.7774	0.7335	0.701	0.7959	0.7628	0.7017	0.8154	0.7511	0.737	0.6509	0.6739	0.7332	0.6315	0.7616	0.6895	0.7766	0.8666	0.721	0.6967	0.583	0.7299
checkpoint-1950	0.6942	0.6563	0.7895	0.7422	0.6998	0.8037	0.7502	0.722	0.813	0.7394	0.7369	0.658	0.6753	0.7373	0.6207	0.7647	0.6924	0.7777	0.8656	0.7181	0.7023	0.5748	0.7373
checkpoint-2000	0.6932	0.6537	0.7677	0.7353	0.7112	0.8079	0.7528	0.7127	0.8224	0.749	0.7465	0.6565	0.6717	0.7405	0.6226	0.7656	0.6964	0.7796	0.8663	0.7285	0.695	0.568	0.7288
checkpoint-2050	0.6885	0.6548	0.7708	0.7278	0.7014	0.8024	0.7487	0.7033	0.8102	0.754	0.7396	0.6558	0.6787	0.7446	0.6187	0.7648	0.6928	0.7752	0.8683	0.7201	0.7003	0.5787	0.7387
checkpoint-2100	0.6883	0.6558	0.7853	0.7387	0.7037	0.8059	0.7559	0.709	0.8172	0.7397	0.7383	0.6543	0.6774	0.7398	0.6157	0.7661	0.6999	0.7769	0.869	0.722	0.702	0.5791	0.7392
checkpoint-2150	0.6962	0.6488	0.776	0.7323	0.7018	0.8035	0.751	0.7078	0.8215	0.7478	0.7396	0.6603	0.6767	0.7378	0.6144	0.7695	0.695	0.7799	0.8649	0.7181	0.7014	0.574	0.7241
checkpoint-2200	0.6961	0.6594	0.7875	0.7351	0.7044	0.8022	0.7594	0.7017	0.8111	0.7455	0.7358	0.6508	0.677	0.7412	0.6351	0.7702	0.6907	0.7783	0.8639	0.7193	0.6951	0.5599	0.7312
checkpoint-2250	0.7006	0.653	0.7751	0.7362	0.6981	0.8006	0.7491	0.7055	0.8152	0.7449	0.7395	0.6492	0.6793	0.7422	0.6193	0.7676	0.6891	0.7771	0.8655	0.7134	0.6941	0.584	0.7318
checkpoint-2300	0.6921	0.6569	0.7818	0.729	0.7067	0.8056	0.7565	0.7103	0.8196	0.7494	0.7321	0.6561	0.6809	0.7328	0.6291	0.7706	0.6995	0.7758	0.8669	0.7262	0.7001	0.5963	0.7282
checkpoint-2350	0.6897	0.6603	0.7788	0.7276	0.7005	0.7961	0.7539	0.6981	0.8168	0.7461	0.7335	0.6435	0.6804	0.7431	0.6141	0.7743	0.6926	0.7745	0.8654	0.7208	0.7057	0.5703	0.7297
checkpoint-2400	0.6935	0.6593	0.7831	0.733	0.6982	0.8027	0.7503	0.7075	0.8133	0.7427	0.7394	0.6433	0.6737	0.737	0.616	0.77	0.6882	0.7771	0.8663	0.7193	0.6958	0.5732	0.7165
checkpoint-2450	0.6912	0.647	0.7724	0.7319	0.6965	0.8038	0.7566	0.7041	0.8213	0.7456	0.7326	0.6457	0.6784	0.7407	0.622	0.7675	0.7017	0.7774	0.8684	0.7176	0.6974	0.5832	0.7318
checkpoint-2500	0.6951	0.654	0.7766	0.7247	0.686	0.8013	0.7553	0.707	0.8132	0.7457	0.7276	0.6475	0.6778	0.7392	0.6103	0.7706	0.6887	0.7773	0.8673	0.7151	0.6975	0.5714	0.7282
checkpoint-2550	0.6973	0.6549	0.7699	0.7314	0.6935	0.8013	0.7587	0.7005	0.8119	0.7476	0.7362	0.6434	0.6665	0.7373	0.6149	0.7723	0.6899	0.7772	0.8633	0.7098	0.7002	0.5852	0.7325
checkpoint-2600	0.6937	0.6491	0.7685	0.7319	0.6859	0.8007	0.7527	0.7127	0.8184	0.7472	0.7306	0.6399	0.6741	0.7416	0.6131	0.7665	0.695	0.7784	0.8655	0.7174	0.7025	0.5804	0.7257
checkpoint-2650	0.7044	0.6492	0.7729	0.734	0.6967	0.8014	0.7489	0.7106	0.814	0.7531	0.735	0.6421	0.6747	0.7409	0.6244	0.7717	0.6978	0.7743	0.8635	0.7212	0.6951	0.5749	0.7103
checkpoint-2700	0.6911	0.6467	0.7772	0.7238	0.6911	0.8015	0.7455	0.7027	0.8115	0.7421	0.7232	0.6503	0.6688	0.733	0.6125	0.7657	0.6794	0.7802	0.8605	0.7126	0.6895	0.5687	0.6965
checkpoint-2750	0.695	0.643	0.7686	0.7286	0.6852	0.8005	0.7491	0.6889	0.8091	0.7466	0.7259	0.64	0.6723	0.726	0.6022	0.7613	0.6871	0.7763	0.864	0.706	0.6857	0.5921	0.7223
checkpoint-2800	0.6927	0.6435	0.7695	0.7296	0.6833	0.7989	0.744	0.7039	0.803	0.7444	0.7278	0.6318	0.6599	0.7211	0.6087	0.7648	0.6791	0.7671	0.8587	0.7076	0.6859	0.5766	0.7158
checkpoint-2850	0.6945	0.6361	0.7681	0.7305	0.6797	0.7959	0.744	0.7082	0.7984	0.742	0.7185	0.6428	0.6557	0.7209	0.61	0.7651	0.6795	0.7705	0.8589	0.7093	0.683	0.5763	0.7079
checkpoint-2900	0.6867	0.6323	0.7661	0.7236	0.6819	0.7965	0.7562	0.6941	0.8031	0.7411	0.7283	0.6392	0.6592	0.7288	0.6076	0.764	0.6841	0.7688	0.8568	0.7038	0.6775	0.5596	0.6885
checkpoint-2950	0.6815	0.6392	0.7689	0.7134	0.6776	0.795	0.744	0.6822	0.7958	0.7377	0.7167	0.6405	0.6695	0.7203	0.6164	0.7672	0.6729	0.77	0.8588	0.7031	0.6802	0.5823	0.6927
checkpoint-3000	0.69	0.622	0.7696	0.7251	0.676	0.7971	0.7487	0.7019	0.8011	0.7402	0.7233	0.6298	0.6654	0.7209	0.5992	0.7598	0.6805	0.7677	0.8595	0.6912	0.6828	0.5695	0.7029
checkpoint-3050	0.6911	0.6188	0.7638	0.7201	0.6861	0.798	0.7448	0.6983	0.7996	0.74	0.7194	0.6439	0.6678	0.7208	0.6042	0.7641	0.6796	0.7672	0.8615	0.7075	0.6804	0.5816	0.693
checkpoint-3100	0.6927	0.6293	0.7548	0.7222	0.6757	0.7917	0.7426	0.6889	0.798	0.7417	0.7222	0.6351	0.6592	0.7226	0.6036	0.7507	0.6826	0.7698	0.8563	0.7036	0.6765	0.5871	0.6945
checkpoint-3150	0.6883	0.6311	0.76	0.7198	0.6866	0.7946	0.7523	0.6855	0.8011	0.745	0.718	0.6412	0.6631	0.7233	0.5967	0.766	0.6691	0.7735	0.8592	0.7112	0.6842	0.5741	0.6927
checkpoint-3200	0.6821	0.6299	0.765	0.7194	0.6826	0.7951	0.7506	0.692	0.7999	0.7419	0.7222	0.6311	0.66	0.7188	0.6005	0.764	0.6736	0.7705	0.857	0.707	0.6699	0.5833	0.7121
checkpoint-3250	0.6747	0.6382	0.7574	0.7255	0.6745	0.7916	0.7452	0.6855	0.7983	0.7416	0.7121	0.6336	0.647	0.7244	0.6056	0.7559	0.6762	0.7689	0.8585	0.7037	0.6762	0.5728	0.6889
checkpoint-3300	0.682	0.6301	0.7807	0.7128	0.6754	0.7944	0.7336	0.6988	0.8005	0.7417	0.7116	0.6424	0.6626	0.72	0.5974	0.7649	0.6793	0.7675	0.8573	0.7053	0.6822	0.5667	0.7147
checkpoint-3350	0.6813	0.6243	0.7614	0.7233	0.6732	0.7932	0.7398	0.6887	0.8048	0.7336	0.7118	0.6287	0.6584	0.7235	0.608	0.7644	0.6773	0.7705	0.8565	0.6937	0.6777	0.5739	0.6806
checkpoint-3400	0.687	0.6394	0.7699	0.7221	0.6796	0.7967	0.7367	0.6913	0.8018	0.7424	0.7177	0.636	0.6612	0.7254	0.6083	0.7668	0.6772	0.7607	0.8562	0.7018	0.6729	0.5765	0.6812
checkpoint-3450	0.6942	0.6302	0.7614	0.7225	0.6911	0.7956	0.7479	0.6946	0.8043	0.7473	0.7154	0.634	0.6513	0.7239	0.609	0.758	0.6794	0.771	0.8567	0.7094	0.6766	0.5615	0.7013
checkpoint-3500	0.6827	0.6211	0.7748	0.7227	0.6787	0.7916	0.7376	0.6858	0.8031	0.7381	0.7149	0.636	0.6645	0.7273	0.5945	0.7696	0.68	0.7678	0.8564	0.7006	0.6815	0.5723	0.7053
checkpoint-3550	0.6925	0.6242	0.7638	0.7245	0.6792	0.7953	0.7559	0.6887	0.8017	0.7374	0.7157	0.6228	0.6522	0.7201	0.5967	0.7603	0.6787	0.7689	0.8537	0.7047	0.677	0.5703	0.693
checkpoint-3600	0.6884	0.6299	0.7699	0.7195	0.6744	0.7921	0.7458	0.6894	0.7931	0.7366	0.7242	0.6276	0.655	0.7185	0.589	0.7593	0.6724	0.7664	0.8585	0.7027	0.6797	0.5754	0.7085
checkpoint-3650	0.6865	0.6225	0.7638	0.7248	0.6685	0.7871	0.7332	0.6965	0.7964	0.7472	0.7163	0.6394	0.6595	0.7197	0.5929	0.7492	0.6788	0.7694	0.8616	0.7029	0.6709	0.5692	0.6929
checkpoint-3700	0.6844	0.6352	0.7704	0.7143	0.6765	0.7952	0.7424	0.6895	0.7948	0.7412	0.7152	0.6444	0.6647	0.7226	0.597	0.7539	0.6785	0.768	0.8568	0.7069	0.6711	0.584	0.6901
checkpoint-3750	0.6798	0.626	0.7613	0.723	0.6798	0.7926	0.7405	0.6959	0.7969	0.7438	0.7137	0.6454	0.657	0.7181	0.6034	0.7506	0.6799	0.7665	0.8586	0.7044	0.6757	0.5798	0.6931
